venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,descuento,total,canal
126,8452,1212,2025-05-20,1,5.83,0.0,5.83,tienda
127,5706,1233,2024-11-11,1,464.31,0.1,417.88,app
128,8489,265,2025-01-06,2,241.94,0.0,483.88,web
129,1336,438,2025-07-24,2,57.52,0.0,115.04,web
130,2790,264,2025-01-21,10,15.17,0.0,151.7,app
131,2244,1444,2025-03-19,2,1125.37,0.05,2138.2,app
132,8853,1231,2025-06-10,3,290.46,0.05,827.81,app
133,7767,1604,2025-12-23,5,18.88,0.0,94.4,app
134,8309,1528,2024-09-28,1,1387.93,0.0,1387.93,app
135,5628,367,2025-01-01,1,72.64,0.0,72.64,web
136,2167,1834,2025-07-11,1,24.79,0.0,24.79,web
137,3747,1325,2025-03-18,2,837.35,0.0,1674.7,app
138,5453,1914,2024-02-07,3,48.39,0.0,145.17,web
139,185,672,2024-12-30,10,35.51,0.1,319.59,web
140,6328,1039,2025-03-15,1,12.67,0.0,12.67,web
141,8525,1542,2024-09-24,1,206.6,0.05,196.27,web
142,3213,374,2023-10-03,2,675.67,0.0,1351.34,web
143,6728,280,2024-08-26,1,33.61,0.3,23.53,app
144,4819,342,2023-04-12,5,25.63,0.0,128.15,web
145,40,1058,2025-08-27,1,65.55,0.05,62.27,tienda
146,2811,841,2024-01-30,5,59.74,0.0,298.7,tienda
147,5232,1164,2023-06-07,4,299.72,0.0,1198.88,app
148,7181,783,2024-07-12,1,114.06,0.0,114.06,web
149,4006,1726,2025-04-26,4,10.91,0.0,43.64,app
150,1833,640,2024-11-05,5,39.04,0.0,195.2,web
151,617,1646,2022-11-18,1,99.5,0.05,94.52,web
152,7083,1179,2024-10-25,2,1392.59,0.0,2785.18,telefono
153,3626,711,2025-12-20,3,218.87,0.0,656.61,telefono
154,6399,1756,2025-07-26,2,177.85,0.05,337.92,app
155,2179,1440,2023-12-31,1,36.66,0.0,36.66,app
156,7485,351,2025-10-08,1,367.4,0.2,293.92,web
157,3416,470,2023-09-05,3,32.56,0.0,97.68,web
158,526,826,2025-08-20,2,711.6,0.0,1423.2,tienda
159,5061,463,2025-01-15,1,3.57,0.0,3.57,app
160,7252,1860,2024-03-18,2,11.29,0.05,21.45,web
161,9316,111,2023-07-09,2,57.47,0.1,103.45,telefono
162,9696,76,2024-06-02,1,451.23,0.05,428.67,app
163,4536,937,2024-07-13,2,89.89,0.2,143.82,app
164,6041,696,2024-05-05,3,17.98,0.05,51.24,app
165,5513,457,2025-04-24,2,12.19,0.2,19.5,web
166,5292,154,2025-05-20,1,1068.11,0.0,1068.11,web
167,1122,1055,2023-11-30,3,8.72,0.05,24.85,web
168,6637,1057,2025-04-24,1,171.64,0.0,171.64,web
169,9642,21,2024-07-21,2,35.35,0.0,70.7,app
170,1243,1118,2025-04-23,5,14.44,0.05,68.59,web
171,3080,749,2022-10-14,2,863.87,0.0,1727.74,app
172,773,118,2024-05-16,1,258.83,0.0,258.83,web
173,4014,1239,2025-11-25,3,78.42,0.0,235.26,web
174,4798,104,2025-10-31,3,39.38,0.0,118.14,tienda
175,3550,203,2025-06-15,1,165.25,0.0,165.25,web
176,4740,1135,2024-12-10,1,321.19,0.1,289.07,app
177,7995,682,2024-05-02,2,2.89,0.1,5.2,app
178,2104,1875,2025-01-08,1,84.58,0.1,76.12,tienda
179,7519,429,2025-08-26,1,38.84,0.2,31.07,web
180,7882,1571,2023-07-16,2,335.62,0.0,671.24,tienda
181,5746,659,2025-10-17,1,85.24,0.0,85.24,tienda
182,3112,1843,2024-05-01,1,26.94,0.0,26.94,web
183,9353,453,2025-08-31,1,171.26,0.0,171.26,web
184,3614,97,2025-07-05,3,222.0,0.0,666.0,app
185,502,1711,2025-01-15,1,33.34,0.0,33.34,web
186,1325,1343,2025-12-05,2,13.14,0.0,26.28,tienda
187,8903,864,2024-06-14,3,58.37,0.0,175.11,web
188,1472,886,2024-10-28,2,1444.23,0.0,2888.46,app
189,4456,1486,2024-01-22,4,15.06,0.05,57.23,telefono
190,6846,1804,2023-01-17,2,106.49,0.0,212.98,app
191,5676,398,2024-10-21,4,512.17,0.0,2048.68,web
192,6457,78,2024-11-10,5,132.1,0.05,627.48,web
193,3459,1918,2024-10-01,4,26.53,0.0,106.12,telefono
194,6540,733,2025-06-07,1,57.7,0.0,57.7,tienda
195,84,1947,2024-11-19,3,245.29,0.0,735.87,app
196,2608,1287,2025-08-16,3,449.46,0.2,1078.7,tienda
197,1216,382,2025-12-16,2,92.3,0.0,184.6,web
198,4527,1413,2025-09-02,1,49.56,0.0,49.56,web
199,1428,536,2024-12-27,3,31.28,0.05,89.15,app
200,5424,611,2023-02-10,2,90.5,0.0,181.0,tienda
201,1777,1219,2025-11-26,1,55.65,0.05,52.87,web
202,4138,60,2024-07-08,5,37.85,0.0,189.25,web
203,740,1389,2025-10-17,1,44.45,0.0,44.45,app
204,4386,972,2024-09-30,1,64.64,0.0,64.64,web
205,8046,685,2025-07-26,1,17.05,0.0,17.05,tienda
206,3131,1036,2025-08-17,1,116.36,0.0,116.36,app
207,6996,308,2024-07-16,1,77.27,0.0,77.27,web
208,4247,1983,2025-11-23,1,37.97,0.0,37.97,tienda
209,2308,1205,2024-12-20,1,106.0,0.0,106.0,web
210,3001,1816,2025-07-08,3,53.4,0.2,128.16,telefono
211,2990,377,2025-05-22,3,62.74,0.2,150.58,web
212,7355,1235,2024-10-08,1,366.23,0.05,347.92,app
213,1975,1217,2025-07-07,1,357.64,0.0,357.64,tienda
214,9768,605,2023-05-24,1,97.23,0.0,97.23,tienda
215,6801,1594,2025-03-02,3,28.36,0.2,68.06,app
216,3999,10,2024-04-12,3,816.04,0.1,2203.31,app
217,9980,380,2025-12-27,4,15.63,0.0,62.52,telefono
218,2124,1346,2023-12-14,2,76.36,0.0,152.72,web
219,7569,1093,2025-02-16,1,275.84,0.0,275.84,web
220,2684,1029,2025-01-28,1,111.13,0.0,111.13,web
221,5387,653,2025-05-16,1,11.09,0.05,10.54,web
222,547,169,2025-07-26,1,807.32,0.05,766.95,telefono
223,8440,31,2025-01-14,3,26.28,0.05,74.9,app
224,3638,1249,2024-06-23,1,214.22,0.2,171.38,web
225,5774,1444,2024-02-28,1,1125.37,0.0,1125.37,app
226,9265,1490,2025-09-29,2,134.55,0.0,269.1,app
227,300,1055,2023-01-06,5,8.72,0.05,41.42,web
228,9667,277,2025-11-14,2,19.32,0.05,36.71,tienda
229,5210,1490,2025-07-21,1,134.55,0.0,134.55,app
230,7760,1159,2025-04-11,2,23.8,0.05,45.22,web
231,4708,431,2025-06-03,2,14.23,0.3,19.92,tienda
232,8128,1052,2022-11-18,1,476.22,0.3,333.35,app
233,8784,1639,2025-06-24,1,38.48,0.0,38.48,tienda
234,3796,424,2024-10-22,1,143.81,0.05,136.62,web
235,7159,1031,2025-07-01,1,44.07,0.1,39.66,app
236,9985,1697,2025-05-18,10,298.44,0.2,2387.52,web
237,7510,1257,2025-06-19,1,69.72,0.1,62.75,web
238,9553,417,2024-12-08,2,48.93,0.2,78.29,app
239,7302,1294,2024-10-29,5,2.01,0.05,9.55,tienda
240,3262,1459,2023-06-27,1,7.02,0.0,7.02,tienda
241,8242,984,2023-04-18,1,103.14,0.2,82.51,app
242,6583,317,2023-03-23,1,391.76,0.0,391.76,web
243,332,270,2024-11-12,4,250.14,0.0,1000.56,app
244,1696,952,2024-09-10,3,33.0,0.0,99.0,tienda
245,2586,1437,2024-05-14,2,16.34,0.2,26.14,app
246,7369,1693,2025-12-06,2,11.85,0.0,23.7,app
247,7929,829,2023-03-27,3,26.37,0.0,79.11,app
248,8240,1251,2025-06-24,1,46.8,0.2,37.44,tienda
249,680,1375,2024-04-12,1,180.35,0.0,180.35,app
250,723,889,2025-03-11,4,26.49,0.2,84.77,web
251,2966,1142,2025-03-03,3,8.38,0.0,25.14,web
252,6740,297,2025-09-12,1,74.56,0.0,74.56,web
253,8390,956,2025-10-02,1,1123.67,0.0,1123.67,app
254,8667,1033,2022-10-16,3,50.5,0.05,143.92,web
255,2042,848,2025-09-21,1,266.32,0.1,239.69,web
256,7615,1237,2023-09-01,10,295.0,0.0,2950.0,web
257,6336,1681,2025-02-04,2,66.62,0.0,133.24,app
258,9260,1648,2025-03-17,3,46.13,0.0,138.39,app
259,7675,902,2024-02-14,3,23.02,0.0,69.06,web
260,5238,172,2025-05-12,1,60.3,0.0,60.3,tienda
261,7783,818,2025-02-03,2,34.5,0.0,69.0,web
262,3045,645,2025-06-24,2,56.84,0.1,102.31,web
263,7814,1420,2025-02-24,1,100.32,0.05,95.3,tienda
264,7763,1269,2023-04-14,3,201.85,0.0,605.55,web
265,8528,1398,2025-08-06,5,12.4,0.05,58.9,app
266,2388,3,2023-09-21,2,85.05,0.1,153.09,web
267,8466,1642,2025-05-16,2,33.89,0.0,67.78,tienda
268,1663,227,2024-05-23,10,554.84,0.0,5548.4,web
269,7664,46,2025-12-08,1,327.19,0.0,327.19,app
270,9289,787,2024-08-06,2,72.41,0.0,144.82,web
271,361,226,2025-08-13,1,587.56,0.05,558.18,telefono
272,6184,786,2025-06-11,1,673.12,0.0,673.12,web
273,6516,195,2023-04-13,2,1472.19,0.0,2944.38,tienda
274,8120,578,2022-09-26,3,174.33,0.0,522.99,app
275,1017,1531,2025-02-20,1,91.37,0.2,73.1,web
276,9079,1747,2023-10-01,1,282.29,0.0,282.29,web
277,9934,407,2025-05-07,1,107.16,0.0,107.16,web
278,6650,890,2024-01-06,1,1.8,0.05,1.71,tienda
279,4295,1870,2025-01-26,2,8.87,0.1,15.97,app
280,6283,615,2024-11-07,1,265.03,0.0,265.03,app
281,550,86,2024-11-21,2,1273.01,0.05,2418.72,app
282,7466,649,2022-04-03,4,1178.98,0.2,3772.74,app
283,704,1367,2025-01-01,2,488.48,0.2,781.57,web
284,3179,606,2025-04-06,5,323.14,0.0,1615.7,tienda
285,1361,577,2024-10-19,2,19.44,0.05,36.94,app
286,7191,1833,2024-07-11,1,233.33,0.1,210.0,web
287,5870,625,2025-05-31,1,28.98,0.0,28.98,app
288,6915,251,2025-04-24,2,848.44,0.05,1612.04,tienda
289,656,912,2024-12-14,2,181.62,0.0,363.24,web
290,3678,626,2025-07-01,2,236.61,0.0,473.22,app
291,4048,343,2025-12-07,2,111.07,0.2,177.71,web
292,5951,1884,2025-08-13,2,34.18,0.0,68.36,tienda
293,1010,1420,2024-11-22,2,100.32,0.05,190.61,web
294,6401,54,2024-10-28,2,7.44,0.05,14.14,app
295,3930,1750,2024-01-19,2,23.15,0.0,46.3,app
296,9045,1429,2023-10-22,3,425.07,0.05,1211.45,web
297,4480,815,2024-02-01,2,146.07,0.2,233.71,app
298,1007,437,2025-05-04,4,38.15,0.0,152.6,app
299,1022,796,2025-02-13,3,1041.75,0.0,3125.25,web
300,2511,180,2024-10-08,1,135.84,0.05,129.05,web
301,2361,505,2024-03-07,3,310.9,0.1,839.43,web
302,7923,1017,2025-11-02,2,389.14,0.0,778.28,telefono
303,7155,443,2025-01-12,5,92.9,0.0,464.5,web
304,771,639,2025-07-29,1,33.6,0.05,31.92,web
305,8489,386,2023-12-21,2,23.6,0.0,47.2,tienda
306,947,857,2023-07-24,2,47.0,0.0,94.0,app
307,7808,1715,2025-08-28,3,49.29,0.0,147.87,tienda
308,1099,1294,2023-01-15,3,2.01,0.1,5.43,web
309,3740,852,2024-06-03,5,172.08,0.0,860.4,web
310,7444,976,2023-09-12,10,32.54,0.0,325.4,app
311,2503,418,2025-02-17,2,38.55,0.2,61.68,app
312,1114,1703,2025-12-06,2,23.86,0.0,47.72,web
313,7824,970,2024-02-12,5,101.54,0.0,507.7,tienda
314,6840,13,2023-12-18,1,12.45,0.05,11.83,app
315,8898,641,2024-01-15,1,628.49,0.2,502.79,tienda
316,6343,910,2025-11-14,1,23.86,0.1,21.47,app
317,738,63,2025-12-15,2,207.63,0.0,415.26,app
318,6317,1734,2023-02-18,1,74.98,0.0,74.98,web
319,8201,1328,2025-12-23,2,16.99,0.05,32.28,web
320,837,1453,2024-08-31,3,7.82,0.0,23.46,web
321,1321,463,2024-11-24,10,3.57,0.0,35.7,tienda
322,6707,1355,2023-01-07,5,116.04,0.0,580.2,app
323,7866,26,2024-07-27,2,47.56,0.0,95.12,app
324,3505,1114,2025-03-20,1,976.33,0.0,976.33,tienda
325,7288,1507,2025-09-06,2,669.34,0.0,1338.68,app
326,1649,1879,2023-10-12,1,17.04,0.0,17.04,tienda
327,4424,1798,2024-11-29,2,29.32,0.05,55.71,web
328,7414,1052,2025-12-14,2,476.22,0.0,952.44,web
329,1958,1258,2025-01-06,2,17.59,0.0,35.18,web
330,3459,219,2025-05-20,2,964.87,0.0,1929.74,app
331,6219,1347,2025-02-25,2,90.56,0.0,181.12,app
332,3433,1494,2024-08-28,1,29.14,0.0,29.14,web
333,8717,320,2025-09-16,2,16.03,0.0,32.06,tienda
334,9552,1977,2023-08-04,1,292.57,0.3,204.8,web
335,6351,560,2024-07-07,1,117.3,0.1,105.57,app
336,7776,1715,2023-01-02,2,49.29,0.0,98.58,web
337,9050,1890,2024-01-27,1,405.92,0.2,324.74,web
338,6946,417,2025-10-16,3,48.93,0.3,102.75,tienda
339,7681,382,2025-01-18,3,92.3,0.3,193.83,web
340,804,1794,2024-12-21,2,293.79,0.05,558.2,tienda
341,8212,822,2025-09-09,1,54.36,0.0,54.36,web
342,2715,1547,2025-12-26,1,121.84,0.2,97.47,web
343,711,879,2024-11-19,1,56.95,0.0,56.95,web
344,5816,15,2024-01-09,1,46.79,0.0,46.79,app
345,2231,515,2024-09-28,1,18.44,0.0,18.44,web
346,800,1809,2024-02-01,4,19.6,0.2,62.72,web
347,6019,1073,2025-03-05,3,137.2,0.0,411.6,app
348,972,161,2023-05-28,1,870.45,0.2,696.36,web
349,8863,842,2025-04-09,1,331.75,0.1,298.58,telefono
350,9680,825,2022-11-21,1,23.38,0.1,21.04,app
351,7317,288,2024-06-06,1,31.38,0.0,31.38,telefono
352,2852,187,2024-05-26,1,169.32,0.0,169.32,tienda
353,5564,338,2024-06-15,1,55.25,0.05,52.49,tienda
354,312,1481,2022-08-14,1,178.44,0.0,178.44,web
355,6140,298,2025-06-08,2,151.96,0.1,273.53,web
356,2616,951,2025-02-05,2,7.64,0.0,15.28,web
357,4525,1443,2025-02-28,1,13.06,0.0,13.06,app
358,1765,209,2022-11-28,3,118.58,0.0,355.74,web
359,9858,699,2025-10-12,1,18.59,0.05,17.66,app
360,2041,1507,2025-03-09,1,669.34,0.0,669.34,web
361,4161,1743,2024-06-03,1,349.11,0.0,349.11,web
362,2513,877,2023-10-27,5,47.02,0.1,211.59,web
363,5369,129,2024-06-01,1,4.29,0.0,4.29,app
364,9038,1103,2024-01-27,5,37.05,0.05,175.99,app
365,1607,1111,2025-01-23,1,121.86,0.05,115.77,web
366,1376,932,2025-08-29,1,30.11,0.3,21.08,web
367,738,249,2023-12-26,3,219.58,0.05,625.8,app
368,5816,1860,2024-06-23,3,11.29,0.0,33.87,tienda
369,5950,1826,2025-08-11,1,88.89,0.0,88.89,telefono
370,8189,584,2023-12-08,1,94.9,0.05,90.16,web
371,8330,318,2025-09-13,4,520.54,0.3,1457.51,app
372,1006,1460,2023-05-09,1,102.96,0.1,92.66,app
373,9092,98,2024-06-15,4,1028.87,0.0,4115.48,web
374,8261,1682,2025-10-15,5,59.88,0.1,269.46,web
375,6401,420,2025-05-11,1,63.51,0.05,60.33,tienda
376,3441,1495,2023-12-26,4,104.81,0.0,419.24,web
377,7390,1007,2025-08-04,2,12.56,0.1,22.61,app
378,6134,156,2023-12-14,1,7.18,0.0,7.18,app
379,3504,1831,2024-12-21,2,85.66,0.0,171.32,web
380,127,993,2023-03-02,1,925.47,0.0,925.47,telefono
381,5846,630,2025-03-31,1,171.95,0.1,154.76,web
382,5702,1155,2023-05-13,1,55.3,0.2,44.24,tienda
383,1517,115,2025-06-24,2,24.55,0.0,49.1,app
384,9047,1619,2023-08-19,2,478.87,0.0,957.74,app
385,1565,1644,2025-03-23,1,29.85,0.0,29.85,web
386,2845,900,2024-05-28,5,57.08,0.05,271.13,app
387,3696,3,2024-12-10,5,85.05,0.0,425.25,app
388,6757,1307,2023-06-16,4,22.17,0.1,79.81,app
389,814,1941,2025-09-20,1,337.36,0.0,337.36,web
390,6950,650,2024-12-05,1,288.03,0.0,288.03,web
391,4140,646,2023-01-14,1,1283.54,0.0,1283.54,tienda
392,1805,876,2024-11-23,2,302.89,0.1,545.2,tienda
393,1102,73,2024-12-06,1,39.42,0.0,39.42,web
394,4118,1215,2025-12-30,1,155.58,0.0,155.58,web
395,4444,319,2025-10-08,1,64.7,0.05,61.46,web
396,1338,1913,2024-12-28,4,181.56,0.0,726.24,app
397,4808,812,2024-05-28,1,1075.57,0.0,1075.57,web
398,4984,1579,2023-11-12,1,181.07,0.0,181.07,web
399,9799,1878,2024-12-10,2,416.25,0.0,832.5,telefono
400,7071,1073,2024-04-29,5,137.2,0.05,651.7,app
401,114,851,2024-07-16,1,59.71,0.0,59.71,app
402,4743,707,2024-09-18,4,26.52,0.0,106.08,app
403,213,1811,2025-12-05,1,25.88,0.0,25.88,web
404,5072,202,2025-04-23,2,31.27,0.0,62.54,app
405,3348,54,2025-10-31,1,7.44,0.0,7.44,web
406,9016,486,2024-10-02,4,53.55,0.0,214.2,tienda
407,4906,134,2024-04-30,4,129.5,0.0,518.0,web
408,8473,615,2025-06-04,3,265.03,0.05,755.34,tienda
409,5769,1775,2025-03-06,1,136.97,0.2,109.58,tienda
410,3946,890,2025-09-14,1,1.8,0.2,1.44,web
411,2261,1248,2025-12-28,1,73.12,0.2,58.5,app
412,1807,116,2024-08-07,1,35.45,0.0,35.45,web
413,7898,1096,2024-11-13,5,8.41,0.1,37.84,web
414,8810,454,2025-01-22,2,100.24,0.1,180.43,web
415,3195,608,2023-02-25,1,346.15,0.0,346.15,tienda
416,4917,1178,2024-07-02,1,97.79,0.2,78.23,web
417,2850,149,2023-07-07,1,61.23,0.0,61.23,web
418,4527,1793,2025-04-11,1,1420.04,0.2,1136.03,web
419,8668,1457,2025-10-21,1,26.15,0.0,26.15,web
420,1348,1245,2024-12-29,10,48.84,0.3,341.88,web
421,2893,1581,2024-09-15,1,20.6,0.2,16.48,tienda
422,6878,1014,2024-12-16,1,20.4,0.0,20.4,app
423,3068,343,2025-02-19,1,111.07,0.0,111.07,web
424,811,771,2024-12-18,1,210.29,0.2,168.23,tienda
425,3722,880,2025-07-23,2,24.26,0.05,46.09,app
426,6693,854,2025-04-04,1,31.52,0.0,31.52,web
427,9832,996,2023-10-16,1,39.61,0.2,31.69,web
428,8908,1713,2022-07-24,4,728.5,0.1,2622.6,web
429,5560,1306,2025-04-06,2,445.52,0.2,712.83,web
430,7725,1394,2024-01-03,1,23.57,0.1,21.21,app
431,5655,37,2024-09-15,1,54.41,0.0,54.41,tienda
432,4909,1287,2022-08-19,3,449.46,0.05,1280.96,app
433,1678,810,2025-05-11,1,9.89,0.0,9.89,web
434,2898,1963,2023-07-10,3,34.4,0.0,103.2,app
435,4499,481,2024-12-02,4,51.75,0.05,196.65,app
436,9849,427,2025-01-12,5,308.51,0.0,1542.55,app
437,6011,1605,2023-11-13,2,6.37,0.0,12.74,web
438,9436,748,2023-12-06,1,14.33,0.05,13.61,app
439,2560,653,2024-01-22,3,11.09,0.0,33.27,app
440,697,1411,2025-01-11,5,413.23,0.0,2066.15,web
441,9775,982,2023-11-12,1,224.34,0.05,213.12,app
442,3260,430,2025-03-31,1,20.58,0.1,18.52,web
443,5308,28,2025-04-15,1,1147.53,0.0,1147.53,web
444,713,1488,2025-01-02,2,801.12,0.2,1281.79,app
445,8576,809,2024-05-24,10,16.39,0.0,163.9,app
446,8,890,2024-08-31,1,1.8,0.0,1.8,web
447,9045,1053,2025-05-04,1,19.9,0.3,13.93,tienda
448,1625,50,2025-05-29,1,1000.99,0.05,950.94,tienda
